Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13
997.56691,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,-0.0022038842975206615,,,,,,,,,,,,
1240.87591,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.006611570247933885,,,,,,,,,,,,
1496.35036,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.01983471074380165,,,,,,,,,,,,
1751.82482,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.01542702479338843,,,,,,,,,,,,
2238.44282,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.030853966942148762,,,,,,,,,,,,
2737.22628,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.030853966942148762,,,,,,,,,,,,
3248.17518,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.10578512396694216,,,,,,,,,,,,
3746.95864,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.12341595041322313,,,,,,,,,,,,
4744.52555,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.1410468595041322,,,,,,,,,,,,
5243.309,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.28870520661157023,,,,,,,,,,,,
1998.0924965751647,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.002884772302765212,2.0,L,,,,,,,,,,
2008.1589123762292,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.009578850324168688,2.0,L,,,,,,,,,,
2521.520106820192,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.06608466037055925,2.0,L,,,,,,,,,,
2523.1588256715277,"Milliman, 1977",M77,23.3,-70.5,Foraminifera,Calcite,,,True,False,121.0,False,1974.0,"Size: 250-500 um, Spherical Forams, orbulina universa and globigerinoides sacculifer",40.0,0.041688570491278346,2.0,L,,,,,,,,,,
